,Country,Code,Region,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,Status,ave_GHG,ave_GDP
30,Kazakhstan,KAZ,CentralAsia,346827.11,346787.34,366656.8,383836.57,352690.65,184388432148.715,137278320084.171,166805800595.704,179339994859.384,181667190075.541,Developing,359359.694,169895947552.703
31,Korea,KOR,EasternAsia,692626.49,693687.73,710645.38,726977.59,701213.74,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,Developing,705030.186,1593210977339.268
32,Latvia,LVA,NorthernEurope,10744.79,10742.11,10776.1,11272.33,11131.87,27252128626.6281,28064533352.2849,30408509601.8003,34412210812.2783,34308783825.3019,Developed,10933.44,30889233243.658703
34,Lithuania,LTU,NorthernEurope,20155.06,20220.17,20344.85,20013.48,20244.64,41418872976.1196,43018087237.5741,47640770634.427,53724663842.5623,54697379017.3332,Developed,20195.64,48099954741.60323
35,Luxembourg,LUX,WesternEurope,10313.87,10077.82,10259.74,10563.28,10739.99,60047430684.2639,62174650367.2216,65549868206.9418,71250208995.6425,70195715495.5136,Developed,10390.939999999999,65843574749.91669
36,Malta,MLT,SouthernEurope,2129.16,1846.96,2028.38,2037.8,2149.93,11091434483.5238,11721521912.7202,13221298307.8894,14864712990.1631,15215714309.0974,Developed,2038.446,13222936400.678782
37,Mexico,MEX,CentralAmerica,745778.83,785540.39,757106.36,765600.79,736629.57,1171867608197.72,1078490651625.31,1158913035796.37,1222408203104.3,1269433932805.91,Developing,758131.188,1180222686305.922
38,Monaco,MCO,WesternEurope,88.21,86.43,83.33,86.67,83.01,6261622101.40908,6472990923.1791,6431314957.07185,7194024563.06094,7383745662.15157,Developing,85.53,6748739641.374508
39,Netherlands,NLD,WesternEurope,194015.91,194644.49,191991.17,186759.63,180936.87,765264949780.999,783528181704.567,831809944960.879,913597086062.599,910194347568.626,Developed,189669.614,840878902015.5339
40,New Zealand,NZL,Oceania,79036.99,76930.22,78511.4,78776.3,79989.79,178064471137.921,188943457301.474,206950600690.395,212225726657.864,212891048340.608,Developed,78648.94,199815060825.6524
41,Norway,NOR,NorthernEurope,54362.82,53447.03,52678.81,52702.97,50958.22,385801550067.169,368827142857.143,398393955268.99,436999692591.454,404941363636.364,Developed,52829.969999999994,398992740884.224
42,Peru,PER,SouthAmerica,94110.785,96302.88,96302.88,96302.88,96302.88,189805300841.603,191895943823.887,211007207483.515,222574697255.522,228470919605.669,Developing,95864.46100000001,208750813802.0392
43,Poland,POL,EasternEurope,383395.33,394315.27,409003.18,409003.95,386386.36,477811911394.084,472630364208.177,526508877305.321,587411745161.558,597280564671.563,Developed,396420.81799999997,532328692548.1406
44,Portugal,PRT,SouthernEurope,68178.64,66351.94,71404.0,67764.99,64115.51,199313894327.486,206286022781.894,220811110492.149,242194788533.537,239986922638.902,Developed,67563.016,221718547754.7936
45,Romania,ROU,EasternEurope,117099.81,115310.16,118358.66,119236.8,115762.75,177729210874.504,188128818486.401,211695422578.655,241457403085.042,249881592298.072,Developed,117153.63599999998,213778489464.53482
