,Status,1990_ghg,1991_ghg,1992_ghg,1993_ghg,1994_ghg,1995_ghg,1996_ghg,1997_ghg,1998_ghg,1999_ghg,2000_ghg,2001_ghg,2002_ghg,2003_ghg,2004_ghg,2005_ghg,2006_ghg,2007_ghg,2008_ghg,2009_ghg,2010_ghg,2011_ghg,2012_ghg,2013_ghg,2014_ghg,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2020_ghg,1990_gdp,1991_gdp,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp
0,Developed,428516.32354838715,422988.40354838717,422372.03225806454,423260.72032258066,427546.7461290322,432416.45096774196,442421.74161290325,441480.60612903227,440055.38483870967,439381.54516129027,446591.3838709677,443735.92645161285,444823.80129032256,449253.01935483876,453240.07129032264,453240.5896774194,450209.5583870968,453487.0,441104.8032258064,413169.4077419355,424850.9248387097,417611.19870967744,409930.54354838707,412569.8774193548,407917.4280645161,402848.0116129032,396488.9951612904,395921.0606451613,398398.1258064516,387827.765483871,357021.6819354839,514140943372.81995,544933075564.50024,586201291637.9034,592888518275.5199,638444735964.0038,706297278412.1506,707862654574.7001,696795858893.3463,707073875633.1869,742492350440.6138,756370645173.3866,749763485521.9688,778552357217.1399,867190051428.7869,960182112532.6602,1006875995406.381,1054132616368.6354,1145271557008.1443,1214715276066.3496,1148128765198.324,1190953701531.3267,1275861007267.0159,1276043061013.1917,1282872499990.0928,1312150032009.8315,1255805978709.2344,1287375599664.7864,1338679546617.3167,1421066147165.3953,1441383215311.8315,1407026812399.2722
1,Developing,555733.798,550720.0475,532177.4576923077,524637.2336923077,513210.30311538465,530396.614932401,550259.8425955711,568210.656729895,585082.6256719114,604201.0649985431,627971.8399405594,646186.0638088578,665320.0757925407,689277.3264300699,711875.8106188811,732418.7396538461,761989.1595769231,790061.4557692308,816322.1346153846,827237.7376153846,862640.1816538462,901759.6946282052,936688.929448718,951061.3548076922,965024.0025897436,969970.4065641026,975685.9059615384,978742.9255769232,983404.6432692308,978099.7763076923,967636.2953461539,205509543525.3442,209451940414.2355,218815487983.78284,223586975349.49924,242867310123.1081,274033177423.78577,292155222276.8688,297406388618.8819,286306281774.1732,285159972385.4443,302497606843.9101,304038159768.3547,316280736330.2225,366486470518.3228,430857454135.04944,497427680006.239,572355456316.8947,688653169215.6932,788890671326.7288,753798787297.689,891876165884.6199,1045078972459.5106,1086941643023.685,1145259114198.5564,1176786622919.5886,1097839670963.3657,1106522600739.5874,1218886144583.0146,1294212153946.2869,1310921797880.4868,1260905137271.938
